assertions	Climate Change	 Vegetarian & Vegan Lifestyle	Black Lives Matter	Creationism in school curricula	Foreign Aid	Gender Equality	Gun Rights	Legalization of Marijuana	Legalization of Same-sex Marriage	Mandatory Vaccination	Media Bias	Obama Care -- Affordable Health Care Act	US Engagement in the Middle East	US Electoral System	US Immigration	War on Terrorism
13	0.7512209977108942	0.7174891045146705	0.8202784635972472	0.6701219651705154	0.15358797613241312		0.8470864335964771	0.10708108786083116	0.714430893615968	0.7940305917658077	0.7664501032103015	0.7075420558931041	0.3936744337377347	0.535232197835048	0.6847346809259933	0.6819350797347019
14	0.7460851176423834	0.715487598180408	0.8352091108551495	0.6648740865791788	0.1918581716750424		0.852095522949931	0.09105351593778677	0.7159412362208061	0.7994694751391682	0.7658057886572529	0.7024756143377268	0.3974806410932799	0.5363808692472718	0.6935538393099506	0.6956047935755901
15	0.7468997464199231	0.7139578195411809	0.8358592825477978	0.6598916530972586	0.20473258184858079		0.8483821097618185	0.0817380280984353	0.7154945702632904	0.8039976723338778	0.7752867509074411	0.7077365619931631	0.4009537578645563	0.5455257110155036	0.7159966347647221	0.6992876390083482
16	0.7361666674999906	0.7188304205609595	0.840228208533007	0.6719305502202614	0.22661329643017206		0.8477374707908457	0.08269594933868232	0.7207048462902612	0.819023850137877	0.7835704296539544	0.7185505167879778	0.40920376424432237	0.5531023278757794	0.7329220671546506	0.7098614094963537
17	0.7308212371890837	0.72700010346171	0.846892443272526	0.6653275691964086	0.23880563851667633		0.8485438490170877	0.0730817511979344	0.7208138520650746	0.8223515074023797	0.7813686844456359	0.7213586549694185	0.4223339001353111	0.5670672914749789	0.746661549217488	0.7208469242358819
18	0.7311751299490715	0.7260623693289373	0.8536526551247117	0.6693228032757217	0.2756626443778331		0.8530561921495988	0.09261747522780119	0.7160825844643655	0.8337545748114348	0.7787434373747582	0.7302365008451335	0.4364520415626756	0.5702008228605868	0.7523899858904479	0.7134967871015954
19	0.7327063050176035	0.7211022123473972	0.8581427220019225	0.6732789174177831	0.32239582159627234		0.8502872495247048	0.09599283993265009	0.7159754841716914	0.8392139080981924	0.7818735344560005	0.7375863306355708	0.4607416504028501	0.5800550600390832	0.7564787670341947	0.7253762141664227
20	0.7456213610067585	0.7215109496686071	0.8597189910257383	0.6808646058846791	0.3599186430151126		0.8489782733255955	0.09218627168709378	0.7139783475617919	0.8403988921060854	0.7867666955975939	0.7369616799549268	0.4606759744837256	0.5798357701446398	0.7648577900545317	0.7316365544552016
21	0.7483826450331267	0.7241255168298545	0.8652477173864584	0.6889461455105637	0.3895551235654187		0.8453829105263289	0.11888045426619621	0.7092539636452878	0.8397469813188053	0.7950623026613028	0.7360696745206783	0.48126677807583434	0.5784344747770376	0.757410802258411	0.7394251963890583
22	0.7541273655194511	0.7267455704797434	0.8689993697275338	0.6947726342660714	0.42590642570248405		0.8424693011987348	0.13962400192994073	0.7072583408634242	0.8413164057444706	0.8038283601589987	0.7415320584710116	0.49166874199805005	0.5782727151656476	0.7603274274896443	0.7434701401420221
